onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.3057273	1	1	Delay	Pred	2	1	3	0.3057273
10.5	2.1428473	2	1	Delay	Pred	2	2	4	0.1428473
15	2.000243521	3	1	Delay	Pred	2	2	4	0.000243521
19.5	2.05479148	4	1	Delay	Pred	1	2	2	0.05479148
24	2.1943958	5	1	Delay	Pred	2	1	3	0.1943958
46.5	2.1908515	6	2	Delay	NonPred	4	2	8	0.1908515
51	2.08383912	7	2	Delay	NonPred	3	1	6	0.08383912
55.5	2.000256336	8	2	Delay	NonPred	4	1	8	0.000256336
60	2.000245012	9	2	Delay	NonPred	4	1	8	0.000245012
64.5	2.000252364	10	2	Delay	NonPred	4	2	7	0.000252364
87	2.000247059	11	3	Delay	Pred	2	2	4	0.000247059
91.5	2.3522254	12	3	Delay	Pred	2	2	4	0.3522254
96	2.2359526	13	3	Delay	Pred	1	1	1	0.2359526
100.5	2.1907885	14	3	Delay	Pred	2	2	4	0.1907885
105	2.000260173	15	3	Delay	Pred	1	2	2	0.000260173
127.5	2.000249424	16	4	Delay	NonPred	3	1	5	0.000249424
132	2.2608213	17	4	Delay	NonPred	3	1	6	0.2608213
136.5	2.2715661	18	4	Delay	NonPred	4	1	7	0.2715661
141	2.01987928	19	4	Delay	NonPred	3	1	6	0.01987928
145.5	2.1920617	20	4	Delay	NonPred	3	2	5	0.1920617
168	2.000262072	21	5	Delay	Pred	1	2	2	0.000262072
172.5	2.000354361	22	5	Delay	Pred	1	1	1	0.000354361
177	2.4134252	23	5	Delay	Pred	1	2	2	0.4134252
181.5	2.000265747	24	5	Delay	Pred	1	1	1	0.000265747
186	2.1007555	25	5	Delay	Pred	1	2	2	0.1007555
208.5	2.000256808	26	6	Delay	NonPred	4	2	7	0.000256808
213	2.06185113	27	6	Delay	NonPred	4	2	7	0.06185113
217.5	2.1614129	28	6	Delay	NonPred	4	1	7	0.1614129
222	2.000259318	29	6	Delay	NonPred	3	2	5	0.000259318
226.5	2.2491179	30	6	Delay	NonPred	3	2	5	0.2491179
249	2.2536908	31	7	Delay	Pred	2	2	3	0.2536908
253.5	2.120843	32	7	Delay	Pred	1	1	1	0.120843
258	2.3415399	33	7	Delay	Pred	2	2	4	0.3415399
262.5	2.3696355	34	7	Delay	Pred	2	1	3	0.3696355
267	2.246586	35	7	Delay	Pred	1	2	2	0.246586
289.5	2.000243571	36	8	Delay	NonPred	3	2	5	0.000243571
294	2.1427654	37	8	Delay	NonPred	3	1	6	0.1427654
298.5	2.1303049	38	8	Delay	NonPred	4	1	8	0.1303049
303	2.4387065	39	8	Delay	NonPred	4	2	8	0.4387065
307.5	2.3066751	40	8	Delay	NonPred	3	1	5	0.3066751
