onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.3589723	1	1	NoDelay	NonPred	7	2	14	0.3589723	stim_7_A.png	stim_3_A.png
10.5	2.4913013	2	1	NoDelay	NonPred	7	1	14	0.4913013	stim_7_A.png	stim_3_A.png
15	2.1193792	3	1	NoDelay	NonPred	8	2	16	0.1193792	stim_1_A.png	stim_11_A.png
19.5	2.2504256	4	1	NoDelay	NonPred	7	1	13	0.2504256	stim_7_A.png	stim_9_A.png
24	2.3114172	5	1	NoDelay	NonPred	8	2	15	0.3114172	stim_1_A.png	stim_8_A.png
46.5	2.563868	6	2	NoDelay	Pred	5	1	9	0.563868	stim_5_A.png	stim_4_A.png
51	2.2719289	7	2	NoDelay	Pred	5	2	10	0.2719289	stim_5_A.png	stim_2_A.png
55.5	2.3073099	8	2	NoDelay	Pred	5	1	9	0.3073099	stim_5_A.png	stim_4_A.png
60	2.5437509	9	2	NoDelay	Pred	6	2	11	0.5437509	stim_10_A.png	stim_12_A.png
64.5	2.5395336	10	2	NoDelay	Pred	6	1	11	0.5395336	stim_10_A.png	stim_12_A.png
87	2.5116085	11	3	NoDelay	NonPred	8	2	16	0.5116085	stim_1_A.png	stim_11_A.png
91.5	2.4764305	12	3	NoDelay	NonPred	8	1	15	0.4764305	stim_1_A.png	stim_8_A.png
96	2.8962658	13	3	NoDelay	NonPred	7	2	13	0.8962658	stim_7_A.png	stim_9_A.png
100.5	2.3399237	14	3	NoDelay	NonPred	8	2	16	0.3399237	stim_1_A.png	stim_11_A.png
105	2.6088162	15	3	NoDelay	NonPred	8	1	15	0.6088162	stim_1_A.png	stim_8_A.png
127.5	2.3090236	16	4	NoDelay	Pred	6	1	11	0.3090236	stim_10_A.png	stim_12_A.png
132	3.120626	17	4	NoDelay	Pred	6	1	11	1.120626	stim_10_A.png	stim_12_A.png
136.5	2.3491706	18	4	NoDelay	Pred	5	2	10	0.3491706	stim_5_A.png	stim_2_A.png
141	2.3608435	19	4	NoDelay	Pred	6	2	12	0.3608435	stim_10_A.png	stim_6_A.png
145.5	2.3251357	20	4	NoDelay	Pred	5	1	9	0.3251357	stim_5_A.png	stim_4_A.png
168	2.7201574	21	5	NoDelay	NonPred	8	2	16	0.7201574	stim_1_A.png	stim_11_A.png
172.5	2.4126131	22	5	NoDelay	NonPred	7	2	13	0.4126131	stim_7_A.png	stim_9_A.png
177	2.07361158	23	5	NoDelay	NonPred	8	1	16	0.07361158	stim_1_A.png	stim_11_A.png
181.5	2.4534889	24	5	NoDelay	NonPred	8	1	15	0.4534889	stim_1_A.png	stim_8_A.png
186	2.3131827	25	5	NoDelay	NonPred	7	1	14	0.3131827	stim_7_A.png	stim_3_A.png
208.5	2.5643529	26	6	NoDelay	Pred	6	1	11	0.5643529	stim_10_A.png	stim_12_A.png
213	2.3450459	27	6	NoDelay	Pred	5	2	10	0.3450459	stim_5_A.png	stim_2_A.png
217.5	2.7411043	28	6	NoDelay	Pred	5	1	9	0.7411043	stim_5_A.png	stim_4_A.png
222	2.7389036	29	6	NoDelay	Pred	6	1	11	0.7389036	stim_10_A.png	stim_12_A.png
226.5	2.3580373	30	6	NoDelay	Pred	5	1	9	0.3580373	stim_5_A.png	stim_4_A.png
249	3.410242	31	7	NoDelay	NonPred	8	2	16	1.410242	stim_1_A.png	stim_11_A.png
253.5	2.2382584	32	7	NoDelay	NonPred	7	1	13	0.2382584	stim_7_A.png	stim_9_A.png
258	2.3546839	33	7	NoDelay	NonPred	7	1	14	0.3546839	stim_7_A.png	stim_3_A.png
262.5	2.2541587	34	7	NoDelay	NonPred	7	1	14	0.2541587	stim_7_A.png	stim_3_A.png
267	2.379279	35	7	NoDelay	NonPred	7	2	14	0.379279	stim_7_A.png	stim_3_A.png
289.5	2.3255263	36	8	NoDelay	Pred	5	2	10	0.3255263	stim_5_A.png	stim_2_A.png
294	2.01126334	37	8	NoDelay	Pred	6	1	11	0.01126334	stim_10_A.png	stim_12_A.png
298.5	2.3906491	38	8	NoDelay	Pred	6	1	11	0.3906491	stim_10_A.png	stim_12_A.png
303	2.2821852	39	8	NoDelay	Pred	5	1	9	0.2821852	stim_5_A.png	stim_4_A.png
307.5	2.6800872	40	8	NoDelay	Pred	6	2	12	0.6800872	stim_10_A.png	stim_6_A.png
