onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.3200124	1	1	NoDelay	NonPred	7	2	14	0.3200124
10.5	2.3313975	2	1	NoDelay	NonPred	8	2	15	0.3313975
15	2.2464874	3	1	NoDelay	NonPred	8	2	15	0.2464874
19.5	2.5382569	4	1	NoDelay	NonPred	7	1	13	0.5382569
24	2.3919588	5	1	NoDelay	NonPred	8	1	16	0.3919588
46.5	2.3623793	6	2	NoDelay	Pred	6	1	12	0.3623793
51	2.2880226	7	2	NoDelay	Pred	5	1	9	0.2880226
55.5	2.1319281	8	2	NoDelay	Pred	5	1	9	0.1319281
60	2.3038078	9	2	NoDelay	Pred	5	1	9	0.3038078
64.5	2.2754768	10	2	NoDelay	Pred	5	2	10	0.2754768
87	2.4466152	11	3	NoDelay	NonPred	7	2	13	0.4466152
91.5	2.2347503	12	3	NoDelay	NonPred	7	2	13	0.2347503
96	2.07796269	13	3	NoDelay	NonPred	8	1	16	0.07796269
100.5	2.3782319	14	3	NoDelay	NonPred	8	1	15	0.3782319
105	2.2391685	15	3	NoDelay	NonPred	8	2	16	0.2391685
127.5	2.363153	16	4	NoDelay	Pred	6	1	11	0.363153
132	2.279986	17	4	NoDelay	Pred	6	2	12	0.279986
136.5	2.4744641	18	4	NoDelay	Pred	5	1	9	0.4744641
141	2.2950678	19	4	NoDelay	Pred	5	1	9	0.2950678
145.5	2.04242717	20	4	NoDelay	Pred	6	2	12	0.04242717
168	2.3996105	21	5	NoDelay	NonPred	7	1	14	0.3996105
172.5	2.2187434	22	5	NoDelay	NonPred	8	1	16	0.2187434
177	2.3189357	23	5	NoDelay	NonPred	8	2	15	0.3189357
181.5	2.2661923	24	5	NoDelay	NonPred	8	2	16	0.2661923
186	2.3040783	25	5	NoDelay	NonPred	7	1	14	0.3040783
208.5	2.4103931	26	6	NoDelay	Pred	5	1	9	0.4103931
213	2.3037902	27	6	NoDelay	Pred	6	2	12	0.3037902
217.5	2.08353634	28	6	NoDelay	Pred	5	1	9	0.08353634
222	2.119991	29	6	NoDelay	Pred	6	1	11	0.119991
226.5	2.3080536	30	6	NoDelay	Pred	6	2	12	0.3080536
249	2.3356391	31	7	NoDelay	NonPred	7	2	14	0.3356391
253.5	2.274884	32	7	NoDelay	NonPred	8	1	15	0.274884
258	2.2075725	33	7	NoDelay	NonPred	7	1	13	0.2075725
262.5	2.1383562	34	7	NoDelay	NonPred	7	2	13	0.1383562
267	2.09570645	35	7	NoDelay	NonPred	7	2	14	0.09570645
289.5	2.3329476	36	8	NoDelay	Pred	6	1	11	0.3329476
294	2.3034899	37	8	NoDelay	Pred	5	1	9	0.3034899
298.5	2.2660301	38	8	NoDelay	Pred	6	2	12	0.2660301
303	2.2807573	39	8	NoDelay	Pred	6	2	12	0.2807573
307.5	2.2121803	40	8	NoDelay	Pred	5	1	9	0.2121803
