onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.4333766	1	1	Delay	NonPred	3	1	6	0.4333766
10.5	2.2772837	2	1	Delay	NonPred	4	2	8	0.2772837
15	2.3379873	3	1	Delay	NonPred	4	1	8	0.3379873
19.5	2.3650891	4	1	Delay	NonPred	3	2	5	0.3650891
24	2.5285324	5	1	Delay	NonPred	4	2	7	0.5285324
46.5	2.3891447	6	2	Delay	Pred	2	1	3	0.3891447
51	2.4731646	7	2	Delay	Pred	1	2	1	0.4731646
55.5	2.5402548	8	2	Delay	Pred	1	1	1	0.5402548
60	2.4570344	9	2	Delay	Pred	2	1	3	0.4570344
64.5	2.3401482	10	2	Delay	Pred	1	2	2	0.3401482
87	2.4404933	11	3	Delay	NonPred	3	1	6	0.4404933
91.5	2.5402626	12	3	Delay	NonPred	4	1	7	0.5402626
96	2.2714832	13	3	Delay	NonPred	4	2	7	0.2714832
100.5	2.2917743	14	3	Delay	NonPred	4	2	8	0.2917743
105	2.1353789	15	3	Delay	NonPred	3	1	5	0.1353789
127.5	2.8270659	16	4	Delay	Pred	2	2	4	0.8270659
132	2.6956785	17	4	Delay	Pred	2	1	3	0.6956785
136.5	2.3799857	18	4	Delay	Pred	2	2	4	0.3799857
141	2.2867726	19	4	Delay	Pred	2	1	3	0.2867726
145.5	2.2440222	20	4	Delay	Pred	2	1	3	0.2440222
168	2.3108968	21	5	Delay	NonPred	3	1	5	0.3108968
172.5	2.3147202	22	5	Delay	NonPred	4	1	7	0.3147202
177	2.3185561	23	5	Delay	NonPred	3	2	6	0.3185561
181.5	2.8021492	24	5	Delay	NonPred	3	1	5	0.8021492
186	2.374746	25	5	Delay	NonPred	4	2	8	0.374746
208.5	2.2903823	26	6	Delay	Pred	1	1	1	0.2903823
213	2.3018095	27	6	Delay	Pred	1	2	2	0.3018095
217.5	2.4418851	28	6	Delay	Pred	1	2	2	0.4418851
222	2.3182325	29	6	Delay	Pred	2	1	3	0.3182325
226.5	2.2501839	30	6	Delay	Pred	2	1	3	0.2501839
249	2.5091971	31	7	Delay	NonPred	3	1	5	0.5091971
253.5	2.4656601	32	7	Delay	NonPred	4	2	8	0.4656601
258	2.2776433	33	7	Delay	NonPred	3	1	6	0.2776433
262.5	2.7292053	34	7	Delay	NonPred	3	1	6	0.7292053
267	2.4374699	35	7	Delay	NonPred	4	2	7	0.4374699
289.5	2.4486811	36	8	Delay	Pred	1	1	1	0.4486811
294	2.3007167	37	8	Delay	Pred	1	2	2	0.3007167
298.5	2.09710729	38	8	Delay	Pred	1	1	1	0.09710729
303	2.668585	39	8	Delay	Pred	2	2	4	0.668585
307.5	2.7768044	40	8	Delay	Pred	1	1	1	0.7768044
