onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.7560955	1	1	NoDelay	NonPred	8	2	15	0.7560955
10.5	2.270604	2	1	NoDelay	NonPred	8	1	16	0.270604
15	2.2986931	3	1	NoDelay	NonPred	7	2	13	0.2986931
19.5	2.2963574	4	1	NoDelay	NonPred	7	1	14	0.2963574
24	2.3952767	5	1	NoDelay	NonPred	8	2	16	0.3952767
46.5	2.3183777	6	2	NoDelay	Pred	5	1	9	0.3183777
51	2.6109295	7	2	NoDelay	Pred	6	2	12	0.6109295
55.5	2.398917	8	2	NoDelay	Pred	6	1	11	0.398917
60	2.810638	9	2	NoDelay	Pred	5	2	10	0.810638
64.5	2.495695	10	2	NoDelay	Pred	5	1	9	0.495695
87	2.5546125	11	3	NoDelay	NonPred	8	2	16	0.5546125
91.5	2.3365295	12	3	NoDelay	NonPred	8	1	15	0.3365295
96	2.2745567	13	3	NoDelay	NonPred	8	2	16	0.2745567
100.5	2.5275539	14	3	NoDelay	NonPred	7	1	14	0.5275539
105	2.3152152	15	3	NoDelay	NonPred	7	2	13	0.3152152
127.5	2.4075806	16	4	NoDelay	Pred	6	1	12	0.4075806
132	2.3631367	17	4	NoDelay	Pred	6	2	12	0.3631367
136.5	2	18	4	NoDelay	Pred	5	0	0	n/a
141	2.9943992	19	4	NoDelay	Pred	5	2	10	0.9943992
145.5	2.7202646	20	4	NoDelay	Pred	5	1	9	0.7202646
168	2.2445676	21	5	NoDelay	NonPred	7	2	13	0.2445676
172.5	2.303621	22	5	NoDelay	NonPred	7	1	13	0.303621
177	2.3157078	23	5	NoDelay	NonPred	8	2	16	0.3157078
181.5	2.2624439	24	5	NoDelay	NonPred	8	1	15	0.2624439
186	2.8835352	25	5	NoDelay	NonPred	7	2	14	0.8835352
208.5	2.4392768	26	6	NoDelay	Pred	5	1	9	0.4392768
213	2.3964485	27	6	NoDelay	Pred	5	2	10	0.3964485
217.5	3.031637	28	6	NoDelay	Pred	6	1	11	1.031637
222	2.4442653	29	6	NoDelay	Pred	6	2	12	0.4442653
226.5	2.2950959	30	6	NoDelay	Pred	6	1	11	0.2950959
249	2.3165885	31	7	NoDelay	NonPred	7	2	13	0.3165885
253.5	2.2466837	32	7	NoDelay	NonPred	7	1	14	0.2466837
258	2.4119798	33	7	NoDelay	NonPred	8	2	15	0.4119798
262.5	2.3291328	34	7	NoDelay	NonPred	7	1	14	0.3291328
267	2.3397532	35	7	NoDelay	NonPred	8	2	15	0.3397532
289.5	2.3283047	36	8	NoDelay	Pred	6	1	11	0.3283047
294	2.2837593	37	8	NoDelay	Pred	6	2	12	0.2837593
298.5	2.2717272	38	8	NoDelay	Pred	6	1	11	0.2717272
303	2.2844527	39	8	NoDelay	Pred	5	2	10	0.2844527
307.5	2.3199761	40	8	NoDelay	Pred	5	1	9	0.3199761
