onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	3.054951	1	1	NoDelay	Pred	5	2	10	1.054951
10.5	2.2356128	2	1	NoDelay	Pred	5	1	9	0.2356128
15	2.7919893	3	1	NoDelay	Pred	6	2	12	0.7919893
19.5	2.762391	4	1	NoDelay	Pred	6	1	11	0.762391
24	2.001720505	5	1	NoDelay	Pred	6	1	11	0.001720505
46.5	2.9954582	6	2	NoDelay	NonPred	8	2	16	0.9954582
51	2.4945646	7	2	NoDelay	NonPred	7	1	13	0.4945646
55.5	2.4673078	8	2	NoDelay	NonPred	8	1	15	0.4673078
60	2.6154144	9	2	NoDelay	NonPred	7	2	13	0.6154144
64.5	2.6204152	10	2	NoDelay	NonPred	8	1	15	0.6204152
87	3.072245	11	3	NoDelay	Pred	5	1	9	1.072245
91.5	2.1078167	12	3	NoDelay	Pred	5	2	10	0.1078167
96	2.992919	13	3	NoDelay	Pred	5	2	10	0.992919
100.5	2.7011543	14	3	NoDelay	Pred	6	1	11	0.7011543
105	2.8786641	15	3	NoDelay	Pred	5	2	10	0.8786641
127.5	2.7706127	16	4	NoDelay	NonPred	8	1	16	0.7706127
132	2.001745066	17	4	NoDelay	NonPred	7	2	14	0.001745066
136.5	2.3810637	18	4	NoDelay	NonPred	8	1	16	0.3810637
141	2.4727037	19	4	NoDelay	NonPred	8	2	15	0.4727037
145.5	2.4596373	20	4	NoDelay	NonPred	7	1	14	0.4596373
168	3.319991	21	5	NoDelay	Pred	6	1	11	1.319991
172.5	2.331704	22	5	NoDelay	Pred	6	2	11	0.331704
177	2.001963863	23	5	NoDelay	Pred	5	2	10	0.001963863
181.5	2.05165694	24	5	NoDelay	Pred	5	2	10	0.05165694
186	2.001777165	25	5	NoDelay	Pred	5	1	9	0.001777165
208.5	3.076009	26	6	NoDelay	NonPred	8	2	16	1.076009
213	2.1991898	27	6	NoDelay	NonPred	7	1	13	0.1991898
217.5	2.4352626	28	6	NoDelay	NonPred	8	1	15	0.4352626
222	2.4323168	29	6	NoDelay	NonPred	7	2	14	0.4323168
226.5	2.4199313	30	6	NoDelay	NonPred	7	2	13	0.4199313
249	2	31	7	NoDelay	Pred	6	0	0	n/a
253.5	2.001633105	32	7	NoDelay	Pred	6	1	11	0.001633105
258	2.3521583	33	7	NoDelay	Pred	6	2	12	0.3521583
262.5	3.116006	34	7	NoDelay	Pred	5	2	10	1.116006
267	3.144292	35	7	NoDelay	Pred	6	1	11	1.144292
289.5	2.7706432	36	8	NoDelay	NonPred	7	2	14	0.7706432
294	2.2806843	37	8	NoDelay	NonPred	8	1	15	0.2806843
298.5	3.187442	38	8	NoDelay	NonPred	7	1	14	1.187442
303	2.2807898	39	8	NoDelay	NonPred	8	2	16	0.2807898
307.5	2.6119046	40	8	NoDelay	NonPred	7	1	13	0.6119046
