onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2	1	1	NoDelay	Pred	5	0	0	n/a
10.5	2.690429	2	1	NoDelay	Pred	6	2	12	0.690429
15	2.4775314	3	1	NoDelay	Pred	5	1	9	0.4775314
19.5	2.6344256	4	1	NoDelay	Pred	5	2	10	0.6344256
24	2.6217323	5	1	NoDelay	Pred	5	1	9	0.6217323
46.5	2.9628125	6	2	NoDelay	NonPred	7	1	14	0.9628125
51	2.7352323	7	2	NoDelay	NonPred	7	2	14	0.7352323
55.5	2.4670756	8	2	NoDelay	NonPred	8	1	15	0.4670756
60	2.7913623	9	2	NoDelay	NonPred	8	2	15	0.7913623
64.5	2.7303214	10	2	NoDelay	NonPred	7	1	13	0.7303214
87	2.9199123	11	3	NoDelay	Pred	6	2	12	0.9199123
91.5	2.6269997	12	3	NoDelay	Pred	6	1	11	0.6269997
96	2.6157589	13	3	NoDelay	Pred	6	1	11	0.6157589
100.5	2.7393879	14	3	NoDelay	Pred	5	2	10	0.7393879
105	2.5120955	15	3	NoDelay	Pred	6	2	12	0.5120955
127.5	2.7082274	16	4	NoDelay	NonPred	8	1	16	0.7082274
132	2.4317588	17	4	NoDelay	NonPred	8	2	16	0.4317588
136.5	2.4274605	18	4	NoDelay	NonPred	8	2	15	0.4274605
141	2.3441732	19	4	NoDelay	NonPred	7	1	14	0.3441732
145.5	2.4444964	20	4	NoDelay	NonPred	8	2	16	0.4444964
168	2.8485051	21	5	NoDelay	Pred	5	1	9	0.8485051
172.5	2.4767398	22	5	NoDelay	Pred	5	2	10	0.4767398
177	2.6165645	23	5	NoDelay	Pred	6	1	11	0.6165645
181.5	2.5249958	24	5	NoDelay	Pred	6	2	11	0.5249958
186	2.4806262	25	5	NoDelay	Pred	6	2	12	0.4806262
208.5	2.07637779	26	6	NoDelay	NonPred	7	1	13	0.07637779
213	2.3062842	27	6	NoDelay	NonPred	7	1	13	0.3062842
217.5	2.2934897	28	6	NoDelay	NonPred	8	1	15	0.2934897
222	2.3130533	29	6	NoDelay	NonPred	7	2	14	0.3130533
226.5	2.4770953	30	6	NoDelay	NonPred	8	2	16	0.4770953
249	2.8819482	31	7	NoDelay	Pred	6	2	12	0.8819482
253.5	2.6929542	32	7	NoDelay	Pred	5	1	9	0.6929542
258	2.5770793	33	7	NoDelay	Pred	5	1	9	0.5770793
262.5	2.3260555	34	7	NoDelay	Pred	5	2	10	0.3260555
267	2.5136082	35	7	NoDelay	Pred	6	2	12	0.5136082
289.5	2.4784293	36	8	NoDelay	NonPred	7	1	13	0.4784293
294	2.4431869	37	8	NoDelay	NonPred	7	2	14	0.4431869
298.5	2.5020275	38	8	NoDelay	NonPred	8	2	16	0.5020275
303	2.3706998	39	8	NoDelay	NonPred	7	2	13	0.3706998
307.5	2.2865262	40	8	NoDelay	NonPred	8	1	15	0.2865262
