onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.2845932	1	1	Delay	NonPred	3	2	6	0.2845932	stim_4_A.png	stim_5_A.png
10.5	2.5270921	2	1	Delay	NonPred	3	2	6	0.5270921	stim_4_A.png	stim_5_A.png
15	2.4748365	3	1	Delay	NonPred	3	2	5	0.4748365	stim_4_A.png	stim_1_A.png
19.5	2.3116445	4	1	Delay	NonPred	4	1	7	0.3116445	stim_12_A.png	stim_6_A.png
24	2.523058	5	1	Delay	NonPred	4	1	8	0.523058	stim_12_A.png	stim_10_A.png
46.5	2.2244477	6	2	Delay	Pred	2	1	3	0.2244477	stim_9_A.png	stim_8_A.png
51	2.2915765	7	2	Delay	Pred	2	2	4	0.2915765	stim_9_A.png	stim_3_A.png
55.5	3.032062	8	2	Delay	Pred	1	2	2	1.032062	stim_7_A.png	stim_11_A.png
60	2.5008749	9	2	Delay	Pred	1	1	1	0.5008749	stim_7_A.png	stim_2_A.png
64.5	2.9280469	10	2	Delay	Pred	1	2	2	0.9280469	stim_7_A.png	stim_11_A.png
87	3.053444	11	3	Delay	NonPred	3	1	6	1.053444	stim_4_A.png	stim_5_A.png
91.5	2.4651032	12	3	Delay	NonPred	3	1	5	0.4651032	stim_4_A.png	stim_1_A.png
96	2.3571807	13	3	Delay	NonPred	3	1	6	0.3571807	stim_4_A.png	stim_5_A.png
100.5	2.2487893	14	3	Delay	NonPred	3	1	5	0.2487893	stim_4_A.png	stim_1_A.png
105	2.3818481	15	3	Delay	NonPred	4	1	8	0.3818481	stim_12_A.png	stim_10_A.png
127.5	3.137556	16	4	Delay	Pred	1	2	2	1.137556	stim_7_A.png	stim_11_A.png
132	2.3966512	17	4	Delay	Pred	2	2	4	0.3966512	stim_9_A.png	stim_3_A.png
136.5	3.394053	18	4	Delay	Pred	1	2	2	1.394053	stim_7_A.png	stim_11_A.png
141	3.014166	19	4	Delay	Pred	1	1	1	1.014166	stim_7_A.png	stim_2_A.png
145.5	3.041474	20	4	Delay	Pred	1	1	1	1.041474	stim_7_A.png	stim_2_A.png
168	2.381587	21	5	Delay	NonPred	3	1	6	0.381587	stim_4_A.png	stim_5_A.png
172.5	2.9620743	22	5	Delay	NonPred	4	1	7	0.9620743	stim_12_A.png	stim_6_A.png
177	2.5	23	5	Delay	NonPred	4	0	0	n/a	stim_12_A.png	n/a
181.5	2.3463737	24	5	Delay	NonPred	4	1	8	0.3463737	stim_12_A.png	stim_10_A.png
186	2.7018486	25	5	Delay	NonPred	3	2	5	0.7018486	stim_4_A.png	stim_1_A.png
208.5	2.3308064	26	6	Delay	Pred	1	2	2	0.3308064	stim_7_A.png	stim_11_A.png
213	2.8773595	27	6	Delay	Pred	1	1	1	0.8773595	stim_7_A.png	stim_2_A.png
217.5	3.083034	28	6	Delay	Pred	2	1	3	1.083034	stim_9_A.png	stim_8_A.png
222	2.3752982	29	6	Delay	Pred	1	1	1	0.3752982	stim_7_A.png	stim_2_A.png
226.5	2.6910479	30	6	Delay	Pred	2	2	4	0.6910479	stim_9_A.png	stim_3_A.png
249	2.2945241	31	7	Delay	NonPred	4	2	7	0.2945241	stim_12_A.png	stim_6_A.png
253.5	2.4993605	32	7	Delay	NonPred	4	2	8	0.4993605	stim_12_A.png	stim_10_A.png
258	3.134932	33	7	Delay	NonPred	3	1	5	1.134932	stim_4_A.png	stim_1_A.png
262.5	2.9240061	34	7	Delay	NonPred	4	2	7	0.9240061	stim_12_A.png	stim_6_A.png
267	2.4153305	35	7	Delay	NonPred	4	1	7	0.4153305	stim_12_A.png	stim_6_A.png
289.5	2.3161195	36	8	Delay	Pred	2	2	3	0.3161195	stim_9_A.png	stim_8_A.png
294	2.904213	37	8	Delay	Pred	2	1	3	0.904213	stim_9_A.png	stim_8_A.png
298.5	2.2588439	38	8	Delay	Pred	2	1	3	0.2588439	stim_9_A.png	stim_8_A.png
303	2.001038406	39	8	Delay	Pred	2	2	4	0.001038406	stim_9_A.png	stim_3_A.png
307.5	2.188523	40	8	Delay	Pred	2	1	3	0.188523	stim_9_A.png	stim_8_A.png
