onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.5453258	1	1	Delay	NonPred	4	2	8	0.5453258	stim_1_A.png	stim_8_A.png
10.5	2.1014676	2	1	Delay	NonPred	4	1	8	0.1014676	stim_1_A.png	stim_8_A.png
15	2.000275114	3	1	Delay	NonPred	4	2	8	0.000275114	stim_1_A.png	stim_8_A.png
19.5	2.2545811	4	1	Delay	NonPred	3	1	5	0.2545811	stim_9_A.png	stim_11_A.png
24	2.000250738	5	1	Delay	NonPred	3	2	6	0.000250738	stim_9_A.png	stim_2_A.png
46.5	2.2952084	6	2	Delay	Pred	2	2	4	0.2952084	stim_10_A.png	stim_4_A.png
51	2.6100053	7	2	Delay	Pred	2	1	3	0.6100053	stim_10_A.png	stim_7_A.png
55.5	2.2544864	8	2	Delay	Pred	1	2	2	0.2544864	stim_6_A.png	stim_3_A.png
60	2.3541689	9	2	Delay	Pred	1	2	2	0.3541689	stim_6_A.png	stim_3_A.png
64.5	2.3911765	10	2	Delay	Pred	1	1	1	0.3911765	stim_6_A.png	stim_5_A.png
87	2.2597948	11	3	Delay	NonPred	4	2	7	0.2597948	stim_1_A.png	stim_12_A.png
91.5	2.07873176	12	3	Delay	NonPred	3	1	6	0.07873176	stim_9_A.png	stim_2_A.png
96	2.000302977	13	3	Delay	NonPred	4	2	8	0.000302977	stim_1_A.png	stim_8_A.png
100.5	2.05622724	14	3	Delay	NonPred	3	1	6	0.05622724	stim_9_A.png	stim_2_A.png
105	2.299871	15	3	Delay	NonPred	4	1	7	0.299871	stim_1_A.png	stim_12_A.png
127.5	2.5	16	4	Delay	Pred	2	0	0	n/a	stim_10_A.png	n/a
132	2.5	17	4	Delay	Pred	1	0	0	n/a	stim_6_A.png	n/a
136.5	2.2711522	18	4	Delay	Pred	2	1	3	0.2711522	stim_10_A.png	stim_7_A.png
141	2.1474175	19	4	Delay	Pred	1	1	1	0.1474175	stim_6_A.png	stim_5_A.png
145.5	2.3030855	20	4	Delay	Pred	2	2	4	0.3030855	stim_10_A.png	stim_4_A.png
168	2.3797145	21	5	Delay	NonPred	4	2	8	0.3797145	stim_1_A.png	stim_8_A.png
172.5	2.1753424	22	5	Delay	NonPred	3	1	5	0.1753424	stim_9_A.png	stim_11_A.png
177	3.035891	23	5	Delay	NonPred	3	2	5	1.035891	stim_9_A.png	stim_11_A.png
181.5	2.2243728	24	5	Delay	NonPred	3	1	6	0.2243728	stim_9_A.png	stim_2_A.png
186	2.000256885	25	5	Delay	NonPred	3	2	5	0.000256885	stim_9_A.png	stim_11_A.png
208.5	2.5	26	6	Delay	Pred	2	0	0	n/a	stim_10_A.png	n/a
213	2.000250144	27	6	Delay	Pred	1	2	2	0.000250144	stim_6_A.png	stim_3_A.png
217.5	2.0419181	28	6	Delay	Pred	2	1	3	0.0419181	stim_10_A.png	stim_7_A.png
222	2.003927161	29	6	Delay	Pred	1	2	1	0.003927161	stim_6_A.png	stim_5_A.png
226.5	2.000248149	30	6	Delay	Pred	1	1	1	0.000248149	stim_6_A.png	stim_5_A.png
249	2.4291685	31	7	Delay	NonPred	4	1	7	0.4291685	stim_1_A.png	stim_12_A.png
253.5	2.6084435	32	7	Delay	NonPred	4	2	8	0.6084435	stim_1_A.png	stim_8_A.png
258	2.221735	33	7	Delay	NonPred	4	2	7	0.221735	stim_1_A.png	stim_12_A.png
262.5	2.473849	34	7	Delay	NonPred	3	1	6	0.473849	stim_9_A.png	stim_2_A.png
267	2.5	35	7	Delay	NonPred	3	0	0	n/a	stim_9_A.png	n/a
289.5	2.2729959	36	8	Delay	Pred	1	2	2	0.2729959	stim_6_A.png	stim_3_A.png
294	2.08578767	37	8	Delay	Pred	1	1	1	0.08578767	stim_6_A.png	stim_5_A.png
298.5	2.5	38	8	Delay	Pred	2	0	0	n/a	stim_10_A.png	n/a
303	2.1502234	39	8	Delay	Pred	2	1	3	0.1502234	stim_10_A.png	stim_7_A.png
307.5	2.000250376	40	8	Delay	Pred	2	1	3	0.000250376	stim_10_A.png	stim_7_A.png
