onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT
6	2.5539717	1	1	NoDelay	NonPred	7	2	14	0.5539717
10.5	3.038094	2	1	NoDelay	NonPred	7	1	14	1.038094
15	2.6326543	3	1	NoDelay	NonPred	7	2	14	0.6326543
19.5	2.7092348	4	1	NoDelay	NonPred	7	1	13	0.7092348
24	3.075036	5	1	NoDelay	NonPred	8	2	15	1.075036
46.5	2.614898	6	2	NoDelay	Pred	5	2	10	0.614898
51	2.561379	7	2	NoDelay	Pred	5	2	10	0.561379
55.5	2.3110498	8	2	NoDelay	Pred	5	1	9	0.3110498
60	2.07511012	9	2	NoDelay	Pred	6	2	12	0.07511012
64.5	2.000723601	10	2	NoDelay	Pred	6	1	11	0.000723601
87	2.6503526	11	3	NoDelay	NonPred	7	2	14	0.6503526
91.5	2.4952732	12	3	NoDelay	NonPred	8	1	16	0.4952732
96	3.19428	13	3	NoDelay	NonPred	7	2	13	1.19428
100.5	3.342443	14	3	NoDelay	NonPred	8	1	15	1.342443
105	2.7878455	15	3	NoDelay	NonPred	7	1	13	0.7878455
127.5	2.000717581	16	4	NoDelay	Pred	6	2	11	0.000717581
132	2.7862791	17	4	NoDelay	Pred	5	1	9	0.7862791
136.5	2.1595832	18	4	NoDelay	Pred	6	2	12	0.1595832
141	2.386578	19	4	NoDelay	Pred	6	1	11	0.386578
145.5	3.112338	20	4	NoDelay	Pred	5	2	10	1.112338
168	2.940158	21	5	NoDelay	NonPred	8	1	16	0.940158
172.5	2.0167825	22	5	NoDelay	NonPred	8	2	15	0.0167825
177	2.3410929	23	5	NoDelay	NonPred	8	2	15	0.3410929
181.5	3.112695	24	5	NoDelay	NonPred	8	1	16	1.112695
186	2.780399	25	5	NoDelay	NonPred	8	2	15	0.780399
208.5	2.007825607	26	6	NoDelay	Pred	6	2	12	0.007825607
213	2.01684655	27	6	NoDelay	Pred	6	1	11	0.01684655
217.5	2.8238993	28	6	NoDelay	Pred	5	2	10	0.8238993
222	2.1010161	29	6	NoDelay	Pred	5	1	9	0.1010161
226.5	2.07204344	30	6	NoDelay	Pred	5	2	10	0.07204344
249	2.4858568	31	7	NoDelay	NonPred	8	2	16	0.4858568
253.5	2.6496084	32	7	NoDelay	NonPred	7	1	13	0.6496084
258	2.07776205	33	7	NoDelay	NonPred	7	2	14	0.07776205
262.5	2.6732705	34	7	NoDelay	NonPred	8	1	15	0.6732705
267	3.02927	35	7	NoDelay	NonPred	7	1	14	1.02927
289.5	2.3696406	36	8	NoDelay	Pred	5	2	10	0.3696406
294	2.01678569	37	8	NoDelay	Pred	5	1	9	0.01678569
298.5	2.9459545	38	8	NoDelay	Pred	6	2	12	0.9459545
303	2.4940608	39	8	NoDelay	Pred	6	2	12	0.4940608
307.5	2.01686016	40	8	NoDelay	Pred	6	1	11	0.01686016
